repo,id,dimension,language,class
example/synthetic-repo-00@deadbeef,F1,D5,csharp,valid
example/synthetic-repo-00@deadbeef,F2,D32,csharp,valid
example/synthetic-repo-00@deadbeef,F3,D31,csharp,valid
example/synthetic-repo-00@deadbeef,F4,D14,csharp,valid
example/synthetic-repo-00@deadbeef,F5,D2,csharp,valid
example/synthetic-repo-01@deadbeef,F6,D1,go,valid
example/synthetic-repo-01@deadbeef,F7,D18,go,valid
example/synthetic-repo-01@deadbeef,F8,D15,go,valid
example/synthetic-repo-01@deadbeef,F9,D7,go,valid
example/synthetic-repo-01@deadbeef,F10,D2,go,false-positive
example/synthetic-repo-01@deadbeef,F11,D35,go,valid
example/synthetic-repo-01@deadbeef,F12,D25,go,valid
example/synthetic-repo-02@deadbeef,F13,D28,rust,valid
example/synthetic-repo-02@deadbeef,F14,D34,rust,valid
example/synthetic-repo-02@deadbeef,F15,D29,rust,valid
example/synthetic-repo-02@deadbeef,F16,D23,rust,opinion-not-fact
example/synthetic-repo-02@deadbeef,F17,D15,rust,valid
example/synthetic-repo-02@deadbeef,F18,D19,rust,valid
example/synthetic-repo-02@deadbeef,F19,D36,rust,shape-irrelevant
example/synthetic-repo-02@deadbeef,F20,D12,rust,false-positive
example/synthetic-repo-02@deadbeef,F21,D19,rust,valid
example/synthetic-repo-03@deadbeef,F22,D33,python,valid
example/synthetic-repo-03@deadbeef,F23,D33,python,shape-irrelevant
example/synthetic-repo-03@deadbeef,F24,D13,python,valid
example/synthetic-repo-03@deadbeef,F25,D38,python,valid
example/synthetic-repo-04@deadbeef,F26,D33,java,valid
example/synthetic-repo-04@deadbeef,F27,D3,java,valid
example/synthetic-repo-04@deadbeef,F28,D26,java,valid
example/synthetic-repo-04@deadbeef,F29,D12,java,valid
example/synthetic-repo-04@deadbeef,F30,D24,java,valid
example/synthetic-repo-04@deadbeef,F31,D33,java,valid
example/synthetic-repo-04@deadbeef,F32,D11,java,valid
example/synthetic-repo-05@deadbeef,F33,D24,csharp,valid
example/synthetic-repo-05@deadbeef,F34,D2,csharp,valid
example/synthetic-repo-05@deadbeef,F35,D20,csharp,valid
example/synthetic-repo-05@deadbeef,F36,D40,csharp,valid
example/synthetic-repo-05@deadbeef,F37,D26,csharp,valid
example/synthetic-repo-05@deadbeef,F38,D11,csharp,valid
example/synthetic-repo-05@deadbeef,F39,D1,csharp,valid
example/synthetic-repo-05@deadbeef,F40,D35,csharp,valid
example/synthetic-repo-06@deadbeef,F41,D33,go,valid
example/synthetic-repo-06@deadbeef,F42,D37,go,valid
example/synthetic-repo-06@deadbeef,F43,D18,go,valid
example/synthetic-repo-06@deadbeef,F44,D39,go,valid
example/synthetic-repo-06@deadbeef,F45,D25,go,false-positive
example/synthetic-repo-06@deadbeef,F46,D33,go,valid
example/synthetic-repo-06@deadbeef,F47,D34,go,valid
example/synthetic-repo-06@deadbeef,F48,D14,go,valid
example/synthetic-repo-07@deadbeef,F49,D24,rust,shape-irrelevant
example/synthetic-repo-07@deadbeef,F50,D13,rust,valid
example/synthetic-repo-07@deadbeef,F51,D32,rust,shape-irrelevant
example/synthetic-repo-07@deadbeef,F52,D27,rust,valid
example/synthetic-repo-07@deadbeef,F53,D35,rust,valid
example/synthetic-repo-07@deadbeef,F54,D40,rust,valid
example/synthetic-repo-07@deadbeef,F55,D39,rust,valid
example/synthetic-repo-08@deadbeef,F56,D41,python,valid
example/synthetic-repo-08@deadbeef,F57,D38,python,valid
example/synthetic-repo-08@deadbeef,F58,D6,python,valid
example/synthetic-repo-08@deadbeef,F59,D17,python,valid
example/synthetic-repo-09@deadbeef,F60,D5,java,valid
example/synthetic-repo-09@deadbeef,F61,D2,java,valid
example/synthetic-repo-09@deadbeef,F62,D18,java,valid
example/synthetic-repo-09@deadbeef,F63,D8,java,valid
example/synthetic-repo-10@deadbeef,F64,D19,csharp,valid
example/synthetic-repo-10@deadbeef,F65,D11,csharp,valid
example/synthetic-repo-10@deadbeef,F66,D11,csharp,valid
example/synthetic-repo-10@deadbeef,F67,D42,csharp,valid
example/synthetic-repo-10@deadbeef,F68,D30,csharp,valid
example/synthetic-repo-10@deadbeef,F69,D32,csharp,valid
example/synthetic-repo-10@deadbeef,F70,D2,csharp,valid
example/synthetic-repo-10@deadbeef,F71,D22,csharp,valid
example/synthetic-repo-11@deadbeef,F72,D17,go,valid
example/synthetic-repo-11@deadbeef,F73,D33,go,valid
example/synthetic-repo-11@deadbeef,F74,D2,go,shape-irrelevant
example/synthetic-repo-11@deadbeef,F75,D26,go,valid
example/synthetic-repo-11@deadbeef,F76,D11,go,valid
example/synthetic-repo-11@deadbeef,F77,D33,go,valid
example/synthetic-repo-11@deadbeef,F78,D35,go,valid
example/synthetic-repo-12@deadbeef,F79,D15,rust,shape-irrelevant
example/synthetic-repo-12@deadbeef,F80,D2,rust,valid
example/synthetic-repo-12@deadbeef,F81,D37,rust,valid
example/synthetic-repo-12@deadbeef,F82,D41,rust,valid
example/synthetic-repo-12@deadbeef,F83,D20,rust,valid
example/synthetic-repo-13@deadbeef,F84,D20,python,false-positive
example/synthetic-repo-13@deadbeef,F85,D5,python,valid
example/synthetic-repo-13@deadbeef,F86,D20,python,valid
example/synthetic-repo-13@deadbeef,F87,D27,python,valid
example/synthetic-repo-13@deadbeef,F88,D9,python,valid
